++ TO ++ DLL: C:\Windows\System32\msvcrt.dll | BaseAddr: 381632 | Addr: 140724934595264 | RoutineName: strlen
--FROM-- DLL: C:\Users\Marcos\source\repos\h3xduck\TFM\samples\nc64.exe | BaseAddr: 29046 | Addr: 4223350 | RoutineName: unnamedImageEntryPoint
++ TO ++ DLL: C:\Users\Marcos\source\repos\h3xduck\TFM\samples\nc64.exe | BaseAddr: 29076 | Addr: 4223380 | RoutineName: unnamedImageEntryPoint
--FROM-- DLL: C:\Users\Marcos\source\repos\h3xduck\TFM\samples\nc64.exe | BaseAddr: 29085 | Addr: 4223389 | RoutineName: unnamedImageEntryPoint
++ TO ++ DLL: C:\Users\Marcos\source\repos\h3xduck\TFM\samples\nc64.exe | BaseAddr: 29048 | Addr: 4223352 | RoutineName: unnamedImageEntryPoint
--FROM-- DLL: C:\Users\Marcos\source\repos\h3xduck\TFM\samples\nc64.exe | BaseAddr: 29111 | Addr: 4223415 | RoutineName: unnamedImageEntryPoint
++ TO ++ DLL: C:\Users\Marcos\source\repos\h3xduck\TFM\samples\nc64.exe | BaseAddr: 29048 | Addr: 4223352 | RoutineName: unnamedImageEntryPoint
--FROM-- DLL: C:\Users\Marcos\source\repos\h3xduck\TFM\samples\nc64.exe | BaseAddr: 29119 | Addr: 4223423 | RoutineName: unnamedImageEntryPoint
++ TO ++ DLL: C:\Users\Marcos\source\repos\h3xduck\TFM\samples\nc64.exe | BaseAddr: 29048 | Addr: 4223352 | RoutineName: unnamedImageEntryPoint
--FROM-- DLL: C:\Users\Marcos\source\repos\h3xduck\TFM\samples\nc64.exe | BaseAddr: 29131 | Addr: 4223435 | RoutineName: unnamedImageEntryPoint
++ TO ++ DLL: C:\Users\Marcos\source\repos\h3xduck\TFM\samples\nc64.exe | BaseAddr: 29048 | Addr: 4223352 | RoutineName: unnamedImageEntryPoint
--FROM-- DLL: C:\Users\Marcos\source\repos\h3xduck\TFM\samples\nc64.exe | BaseAddr: 29143 | Addr: 4223447 | RoutineName: unnamedImageEntryPoint
++ TO ++ DLL: C:\Users\Marcos\source\repos\h3xduck\TFM\samples\nc64.exe | BaseAddr: 29156 | Addr: 4223460 | RoutineName: unnamedImageEntryPoint
--FROM-- DLL: C:\Users\Marcos\source\repos\h3xduck\TFM\samples\nc64.exe | BaseAddr: 29168 | Addr: 4223472 | RoutineName: unnamedImageEntryPoint
++ TO ++ DLL: C:\Users\Marcos\source\repos\h3xduck\TFM\samples\nc64.exe | BaseAddr: 29776 | Addr: 4224080 | RoutineName: unnamedImageEntryPoint
--FROM-- DLL: C:\Users\Marcos\source\repos\h3xduck\TFM\samples\nc64.exe | BaseAddr: 29776 | Addr: 4224080 | RoutineName: unnamedImageEntryPoint
++ TO ++ DLL: C:\Windows\System32\msvcrt.dll | BaseAddr: 382496 | Addr: 140724934596128 | RoutineName: strncmp
--FROM-- DLL: C:\Users\Marcos\source\repos\h3xduck\TFM\samples\nc64.exe | BaseAddr: 29175 | Addr: 4223479 | RoutineName: unnamedImageEntryPoint
++ TO ++ DLL: C:\Users\Marcos\source\repos\h3xduck\TFM\samples\nc64.exe | BaseAddr: 29048 | Addr: 4223352 | RoutineName: unnamedImageEntryPoint
--FROM-- DLL: C:\Users\Marcos\source\repos\h3xduck\TFM\samples\nc64.exe | BaseAddr: 29186 | Addr: 4223490 | RoutineName: unnamedImageEntryPoint
++ TO ++ DLL: C:\Users\Marcos\source\repos\h3xduck\TFM\samples\nc64.exe | BaseAddr: 29152 | Addr: 4223456 | RoutineName: unnamedImageEntryPoint
--FROM-- DLL: C:\Users\Marcos\source\repos\h3xduck\TFM\samples\nc64.exe | BaseAddr: 29168 | Addr: 4223472 | RoutineName: unnamedImageEntryPoint
++ TO ++ DLL: C:\Users\Marcos\source\repos\h3xduck\TFM\samples\nc64.exe | BaseAddr: 29776 | Addr: 4224080 | RoutineName: unnamedImageEntryPoint
--FROM-- DLL: C:\Users\Marcos\source\repos\h3xduck\TFM\samples\nc64.exe | BaseAddr: 29776 | Addr: 4224080 | RoutineName: unnamedImageEntryPoint
